"position,""left"",""full_name"",""full_name href"",""right"",""right 2"",""hidden"",""truncate"",""center 2"",""center 3"",""center 4"",""hidden 3"",""hidden 4"",""left 2""";
"177,""489"",""Juan Manuel TORRES RODRÍGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1496704668597&method=ResAtletaUid"",""164"",""73 VETA-M"",""VETA"",""-"",""20:57:05"",""12:57"",""09:27:18"",""14006"",""M"",""104 LOC-M""";
"178,""315"",""Juan Carlos MENDEZ GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1477586106244&method=ResAtletaUid"",""165"",""71 SEN-M"",""SEN"",""MEGAPLUS - EVASION RUNNING VILANOVA"",""20:57:29"",""12:57"",""09:27:42"",""14008"",""M"",""""";
"179,""418"",""Natalia RODRIGUEZ PEREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1477586106256&method=ResAtletaUid"",""14-F"",""5 SEN-F"",""SEN"",""RUMORE TEAM"",""20:57:29"",""12:57"",""09:27:42"",""14001"",""F"",""""";
"180,""233"",""José Manuel  HERNÁNDEZ LINARES"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225088&method=ResAtletaUid"",""166"",""74 VETA-M"",""VETA"",""URBANRUNN"",""21:02:27"",""13:00"",""09:32:40"",""14006"",""M"",""105 LOC-M""";
"181,""65"",""Víctor CAÑADILLAS DE LA CRUZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705228260&method=ResAtletaUid"",""167"",""18 VETB-M"",""VETB"",""Grupo Logistico XVI"",""21:04:11"",""13:01"",""09:34:24"",""14005"",""M"",""7 MIL-M""";
"182,""350"",""Antonio PEREZ BARROSO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535751387&method=ResAtletaUid"",""168"",""19 VETB-M"",""VETB"",""BLUETRAILEROS"",""21:07:25"",""13:03"",""09:37:38"",""14005"",""M"",""106 LOC-M""";
"183,""41"",""Pedro Manuel  BELLO GARCÍA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535743252&method=ResAtletaUid"",""169"",""75 VETA-M"",""VETA"",""BLUETRAILEROS"",""21:07:27"",""13:03"",""09:37:40"",""14006"",""M"",""107 LOC-M""";
"184,""143"",""Cristina GAISSE HERRERO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1478806369838&method=ResAtletaUid"",""15-F"",""7 VETA-F"",""VETA"",""Camelias"",""21:08:12"",""13:04"",""09:38:25"",""14004"",""F"",""""";
"185,""56"",""Yaiza CABRERA GARCIA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705231287&method=ResAtletaUid"",""16-F"",""8 VETA-F"",""VETA"",""PODENCOS TRAIL TEAM"",""21:10:08"",""13:05"",""09:40:21"",""14004"",""F"",""""";
"186,""448"",""Victor SANZ MORENO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1469638128145&method=ResAtletaUid"",""170"",""76 VETA-M"",""VETA"",""-"",""21:12:23"",""13:07"",""09:42:36"",""14006"",""M"",""""";
"187,""249"",""Francisco JUNCO EZQUERRA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535752662&method=ResAtletaUid"",""171"",""20 VETB-M"",""VETB"",""LOS CORREGÜELAS"",""21:14:30"",""13:08"",""09:44:43"",""14005"",""M"",""""";
"188,""103"",""Jonathan DIAZ ABREU"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705238709&method=ResAtletaUid"",""172"",""72 SEN-M"",""SEN"",""RENDIRSE NO ES UNA OPCIÓN"",""21:14:51"",""13:08"",""09:45:04"",""14008"",""M"",""108 LOC-M""";
"189,""140"",""Santi FRÍAS DÍAZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705232983&method=ResAtletaUid"",""173"",""77 VETA-M"",""VETA"",""PATEA SAN BORONDÓN"",""21:14:52"",""13:08"",""09:45:05"",""14006"",""M"",""109 LOC-M""";
"190,""423"",""Xerach RODRÍGUEZ SANTANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1484726681278&method=ResAtletaUid"",""174"",""73 SEN-M"",""SEN"",""club Veredas atauro"",""21:17:18"",""13:10"",""09:47:31"",""14008"",""M"",""""";
"191,""307"",""Victoriano Lorenzo MARTINEZ MOLINA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705226047&method=ResAtletaUid"",""175"",""78 VETA-M"",""VETA"",""educere sport"",""21:17:20"",""13:10"",""09:47:33"",""14006"",""M"",""110 LOC-M""";
"192,""215"",""Christian  GUTIERREZ SAMUELSSON"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1486801859582&method=ResAtletaUid"",""176"",""79 VETA-M"",""VETA"",""-"",""21:22:15"",""13:13"",""09:52:28"",""14006"",""M"",""""";
"193,""60"",""Juan Bta CALABUIG BELDA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1493276020337&method=ResAtletaUid"",""177"",""80 VETA-M"",""VETA"",""Trivici banyeres"",""21:23:50"",""13:14"",""09:54:03"",""14006"",""M"",""""";
"194,""271"",""Isaías José LÓPEZ RODRÍGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705233276&method=ResAtletaUid"",""178"",""81 VETA-M"",""VETA"",""TENERIFE MAMUT TRAIL"",""21:25:14"",""13:14"",""09:55:27"",""14006"",""M"",""111 LOC-M""";
"195,""347"",""Mihai PANTIS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1482050863407&method=ResAtletaUid"",""179"",""74 SEN-M"",""SEN"",""Ro Club Maraton"",""21:33:21"",""13:20"",""10:03:34"",""14008"",""M"",""""";
"196,""95"",""David DELGADO GARCIA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235522&method=ResAtletaUid"",""180"",""82 VETA-M"",""VETA"",""-"",""21:38:32"",""13:23"",""10:08:45"",""14006"",""M"",""112 LOC-M""";
"197,""199"",""Enzo GONZÁLEZ RODRÍGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705240637&method=ResAtletaUid"",""181"",""83 VETA-M"",""VETA"",""Posturitas Trail Shop"",""21:39:05"",""13:23"",""10:09:18"",""14006"",""M"",""113 LOC-M""";
"198,""401"",""Sergio RODRÍGUEZ BRITO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705231244&method=ResAtletaUid"",""182"",""84 VETA-M"",""VETA"",""PICHON TRAIL PROJECT"",""21:39:05"",""13:23"",""10:09:18"",""14006"",""M"",""114 LOC-M""";
"199,""387"",""Humberto RAMOS RAMOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1479998803256&method=ResAtletaUid"",""183"",""85 VETA-M"",""VETA"",""Aiiiiiiiadelante Team"",""21:39:05"",""13:23"",""10:09:18"",""14006"",""M"",""115 LOC-M""";
"200,""120"",""Miguel Angel ESCALERA CASTRO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535741660&method=ResAtletaUid"",""184"",""86 VETA-M"",""VETA"",""C.D. HISPATRAIL-TRAINING MARKET"",""21:39:21"",""13:23"",""10:09:34"",""14006"",""M"",""8 MIL-M""";
"201,""278"",""Andres Martin LOZANO GRIJOTA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1478806356152&method=ResAtletaUid"",""185"",""87 VETA-M"",""VETA"",""CD HISPATRAIL TRAININGMARKET"",""21:39:22"",""13:23"",""10:09:35"",""14006"",""M"",""9 MIL-M""";
"202,""455"",""Luis SOLANO BENITEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535740526&method=ResAtletaUid"",""186"",""88 VETA-M"",""VETA"",""HISPATRAIL SEVILLA"",""21:39:23"",""13:23"",""10:09:36"",""14006"",""M"",""""";
"203,""317"",""Violeta MENESES NAVARRO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884356050&method=ResAtletaUid"",""17-F"",""4 VETB-F"",""VETB"",""CAVTENERIFE"",""21:41:20"",""13:24"",""10:11:33"",""14002"",""F"",""7 LOC-F""";
"204,""472"",""Francisco Conrado TRUJILLO SUAREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1467820444025&method=ResAtletaUid"",""187"",""75 SEN-M"",""SEN"",""C.M. SAMARA ISORA"",""21:41:26"",""13:25"",""10:11:39"",""14008"",""M"",""116 LOC-M""";
"205,""476"",""Erwin VAN BROEKHOVEN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1469638135194&method=ResAtletaUid"",""188"",""76 SEN-M"",""SEN"",""-"",""21:42:28"",""13:25"",""10:12:41"",""14008"",""M"",""""";
"206,""111"",""Marceliano DÍAZ RODRÍGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237074&method=ResAtletaUid"",""189"",""21 VETB-M"",""VETB"",""ATLANTES TRAIL"",""21:43:18"",""13:26"",""10:13:31"",""14005"",""M"",""117 LOC-M""";
"207,""310"",""Martin MEDINA NODA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535753108&method=ResAtletaUid"",""190"",""89 VETA-M"",""VETA"",""C.D.LANZARUNNING PLAYA HONDA"",""21:45:31"",""13:27"",""10:15:44"",""14006"",""M"",""""";
"208,""285"",""Christophe MARQUET"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884355943&method=ResAtletaUid"",""191"",""22 VETB-M"",""VETB"",""ESPARTANOS DUC DE FOIX"",""21:45:51"",""13:27"",""10:16:04"",""14005"",""M"",""""";
"209,""286"",""(thony) Jose Antonio MARRERO CHINEA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237245&method=ResAtletaUid"",""192"",""90 VETA-M"",""VETA"",""Patea San Borondon"",""21:45:56"",""13:27"",""10:16:09"",""14006"",""M"",""118 LOC-M""";
"210,""474"",""Jonathan VALENCIA MEDINA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705233787&method=ResAtletaUid"",""193"",""77 SEN-M"",""SEN"",""Agaeterun"",""21:46:27"",""13:28"",""10:16:40"",""14008"",""M"",""""";
"211,""400"",""Miguel Angel RODRIGUEZ BRITO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535744236&method=ResAtletaUid"",""194"",""78 SEN-M"",""SEN"",""Retamar"",""21:51:03"",""13:30"",""10:21:16"",""14008"",""M"",""""";
"212,""268"",""Jéssica  LÓPEZ MESA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492064095501&method=ResAtletaUid"",""18-F"",""6 SEN-F"",""SEN"",""-"",""21:58:09"",""13:35"",""10:28:22"",""14001"",""F"",""8 LOC-F""";
"213,""269"",""Merci LÓPEZ MESA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1482050863949&method=ResAtletaUid"",""19-F"",""9 VETA-F"",""VETA"",""Kuro Obi Tegueste"",""21:58:09"",""13:35"",""10:28:22"",""14004"",""F"",""9 LOC-F""";
"214,""87"",""Eduardo DE LA GUARDIA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1467820441897&method=ResAtletaUid"",""195"",""91 VETA-M"",""VETA"",""ZONA ABORIGEN"",""22:00:16"",""13:36"",""10:30:29"",""14006"",""M"",""10 MIL-M";"119 LOC-M"""
"215,""433"",""Juan Miguel RUIZ RUBAL"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1494721565082&method=ResAtletaUid"",""196"",""92 VETA-M"",""VETA"",""BRIFOR"",""22:00:37"",""13:36"",""10:30:50"",""14006"",""M"",""120 LOC-M""";
"216,""155"",""Juan SIREROL GÓMEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705227155&method=ResAtletaUid"",""197"",""93 VETA-M"",""VETA"",""TEAM obaya"",""22:05:45"",""13:40"",""10:35:58"",""14006"",""M"",""""";
"217,""33"",""Arturo BALFEGO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1479998821758&method=ResAtletaUid"",""198"",""94 VETA-M"",""VETA"",""INDEPENDENCIA LA CALA"",""22:05:45"",""13:40"",""10:35:58"",""14006"",""M"",""""";
"218,""369"",""Salva PILES MARTIN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1485451220029&method=ResAtletaUid"",""199"",""79 SEN-M"",""SEN"",""La Font de les Runners"",""22:07:18"",""13:41"",""10:37:31"",""14008"",""M"",""""";
"219,""368"",""Miguel Angel PERIÑAN SIERRA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705240509&method=ResAtletaUid"",""200"",""95 VETA-M"",""VETA"",""asociación deportiva sherypol"",""22:14:28"",""13:45"",""10:44:41"",""14006"",""M"",""""";
"220,""96"",""Julian DELGADO GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235588&method=ResAtletaUid"",""201"",""96 VETA-M"",""VETA"",""ficus trail"",""22:14:50"",""13:45"",""10:45:03"",""14006"",""M"",""121 LOC-M""";
"221,""135"",""Javier FERNÁNDEZ RODRÍGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235864&method=ResAtletaUid"",""202"",""97 VETA-M"",""VETA"",""ATLEFULCA"",""22:17:58"",""13:47"",""10:48:11"",""14006"",""M"",""""";
"222,""235"",""José Ignacio  HERNÁNDEZ MESA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225826&method=ResAtletaUid"",""203"",""98 VETA-M"",""VETA"",""Urbanrunn"",""22:21:26"",""13:49"",""10:51:39"",""14006"",""M"",""122 LOC-M""";
"223,""118"",""Marjorie Isabelle DUCHATEAU"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705227770&method=ResAtletaUid"",""20-F"",""7 SEN-F"",""SEN"",""URBANRUNN"",""22:21:26"",""13:49"",""10:51:39"",""14001"",""F"",""10 LOC-F""";
"224,""299"",""Luis MARTÍN MARRERO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1467820442163&method=ResAtletaUid"",""204"",""99 VETA-M"",""VETA"",""Trimakina"",""22:24:03"",""13:51"",""10:54:16"",""14006"",""M"",""""";
"225,""306"",""Cesar MARTINEZ MIERA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884329954&method=ResAtletaUid"",""205"",""80 SEN-M"",""SEN"",""MTB Cabuerniga"",""22:25:01"",""13:51"",""10:55:14"",""14008"",""M"",""""";
"226,""257"",""Peter LEMON"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1478806358608&method=ResAtletaUid"",""206"",""23 VETB-M"",""VETB"",""100 MARATHON CLUB"",""22:29:37"",""13:54"",""10:59:50"",""14005"",""M"",""""";
"227,""297"",""Francisco Miguel  MARTÍN HERNÁNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225070&method=ResAtletaUid"",""207"",""100 VETA-M"",""VETA"",""Studio 54 interspor"",""22:35:59"",""13:58"",""11:06:12"",""14006"",""M"",""123 LOC-M""";
"228,""341"",""Juan Jose  PACHECO GONZÁLEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705228433&method=ResAtletaUid"",""208"",""24 VETB-M"",""VETB"",""Clator 3.7"",""22:41:50"",""14:02"",""11:12:03"",""14005"",""M"",""124 LOC-M""";
"229,""189"",""Josué  GONZÁLEZ LUIS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235655&method=ResAtletaUid"",""209"",""81 SEN-M"",""SEN"",""ROCTRAIL TEAM"",""22:46:19"",""14:05"",""11:16:32"",""14008"",""M"",""125 LOC-M""";
"230,""242"",""Arturo Guillermo HERRERA DE LEÓN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237452&method=ResAtletaUid"",""210"",""101 VETA-M"",""VETA"",""CAMBATE LAS PATAS"",""22:46:20"",""14:05"",""11:16:33"",""14006"",""M"",""126 LOC-M""";
"231,""105"",""Domingo DÍAZ GARCÍA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745893&method=ResAtletaUid"",""211"",""25 VETB-M"",""VETB"",""TRICOTA"",""22:52:27"",""14:08"",""11:22:40"",""14005"",""M"",""127 LOC-M""";
"232,""354"",""Silvia PEREZ DELGADO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1489090556974&method=ResAtletaUid"",""21-F"",""10 VETA-F"",""VETA"",""ARCHIPIÉLAGO TRAIL"",""22:52:33"",""14:09"",""11:22:46"",""14004"",""F"",""11 LOC-F""";
"233,""97"",""Cristofer DELGADO PÉREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1472256314929&method=ResAtletaUid"",""212"",""82 SEN-M"",""SEN"",""ARCHIPIELAGO TRAIL"",""22:52:34"",""14:09"",""11:22:47"",""14008"",""M"",""128 LOC-M""";
"234,""241"",""Moises HERNÁNDEZ VIERA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535740855&method=ResAtletaUid"",""213"",""83 SEN-M"",""SEN"",""ARCHIPIELAGO TRAIL"",""22:52:34"",""14:09"",""11:22:47"",""14008"",""M"",""129 LOC-M""";
"235,""338"",""Miguel Angel  ORTEGA SANCHEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1472256315996&method=ResAtletaUid"",""214"",""102 VETA-M"",""VETA"",""Arista"",""22:53:28"",""14:09"",""11:23:41"",""14006"",""M"",""""";
